id,gid,x,y,dir_x,dir_y,radius,time
102,102,-1.33067,-1.41378,0.990894,-0.107277,0.1,247.999
102,102,-1.28533,-1.42356,0.991372,-0.103578,0.1,248.039
102,102,-1.24,-1.43333,0.99185,-0.0998798,0.1,248.079
102,102,-1.19467,-1.44311,0.992327,-0.0961811,0.1,248.119
102,102,-1.14933,-1.45289,0.992805,-0.0924825,0.1,248.159
102,102,-1.104,-1.46267,0.993282,-0.0887839,0.1,248.199
102,102,-1.05867,-1.47244,0.99376,-0.0850853,0.1,248.239
102,102,-1.01333,-1.48222,0.994238,-0.0813867,0.1,248.279
102,102,-0.968,-1.492,0.994715,-0.0776881,0.1,248.319
102,102,-0.922667,-1.50178,0.995193,-0.0739895,0.1,248.359
102,102,-0.877333,-1.51156,0.99567,-0.0702909,0.1,248.399
102,102,-0.832,-1.52133,0.996148,-0.0665923,0.1,248.439
102,102,-0.786667,-1.53111,0.996626,-0.0628937,0.1,248.479
102,102,-0.741333,-1.54089,0.997103,-0.0591951,0.1,248.519
102,102,-0.696,-1.55067,0.997581,-0.0554965,0.1,248.559
102,102,-0.650667,-1.56044,0.998059,-0.0517979,0.1,248.599
102,102,-0.605333,-1.57022,0.998536,-0.0480993,0.1,248.639
102,102,-0.56,-1.58,0.999014,-0.0444007,0.1,248.679
102,102,-0.508077,-1.58231,0.998483,-0.0481132,0.1,248.719
102,102,-0.456154,-1.58462,0.997952,-0.0518258,0.1,248.759
102,102,-0.404231,-1.58692,0.997421,-0.0555383,0.1,248.799
102,102,-0.352308,-1.58923,0.99689,-0.0592509,0.1,248.839
102,102,-0.300385,-1.59154,0.996359,-0.0629634,0.1,248.879
102,102,-0.248462,-1.59385,0.995827,-0.066676,0.1,248.919
102,102,-0.196538,-1.59615,0.995296,-0.0703885,0.1,248.959
102,102,-0.144615,-1.59846,0.994765,-0.0741011,0.1,248.999
102,102,-0.0926923,-1.60077,0.994234,-0.0778136,0.1,249.039
102,102,-0.0407692,-1.60308,0.993703,-0.0815261,0.1,249.079
102,102,0.0111539,-1.60538,0.993172,-0.0852387,0.1,249.119
102,102,0.0630769,-1.60769,0.992641,-0.0889512,0.1,249.159
102,102,0.115,-1.61,0.99211,-0.0926638,0.1,249.199
102,102,0.166923,-1.61231,0.991579,-0.0963763,0.1,249.239
102,102,0.218846,-1.61462,0.991048,-0.100089,0.1,249.279
102,102,0.270769,-1.61692,0.990517,-0.103801,0.1,249.319
102,102,0.322692,-1.61923,0.989986,-0.107514,0.1,249.359
102,102,0.374615,-1.62154,0.989455,-0.111227,0.1,249.399
